paper_id,title,semantic_only_filtered_score,semantic_only_filtered_score_rank,semantic_temporal_filtered_score,semantic_temporal_filtered_score_rank,full_model_filtered_score,full_model_filtered_score_rank
W2097281067,TUBE,0.8156266560142734,1,0.8439549844876573,1,0.7355595766435175,1
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,0.3689734033860342,2,0.3697585391187756,2,0.36978445011244904,2
W3123243120,Nonrivalry and the Economics of Data,0.33005990330271623,3,0.33072726867511193,3,0.3307492930197557,3
W3111554765,Optimal Sticky Prices under Rational Inattention,0.15835546875000003,4,0.15835546875000003,4,0.15835546875000003,4
W2168402580,Query-based data pricing,0.147937166411087,5,0.14746935653079413,5,0.14856741566897164,5
W2910976764,Nonrivalry and the Economics of Data,0.13311809219455908,6,0.13313331191486674,6,0.13313331191486674,6
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,0.0956819104117526,7,0.09311406914609968,7,0.09310364723615171,7
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",0.09237804809583147,8,0.09183189198729264,8,0.09185128592858881,8
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,0.05232417724514569,16,0.0417847741296618,21,0.0718097335990384,9
W2010653253,A survey of smart data pricing,0.07774524959788642,9,0.08010571198290659,9,0.07167358164276122,10
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,0.06295509453781514,11,0.06295509453781514,11,0.06295509453781514,11
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,0.057270220588235304,13,0.057270220588235304,13,0.057270220588235304,12
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,0.057030527836134465,14,0.057030527836134465,14,0.057030527836134465,13
W2612128091,QIRANA,0.05161164874132079,17,0.05206444008560884,17,0.052748170295115124,14
W2293940046,Query-Based Data Pricing,0.052814294691870906,15,0.05276648809378237,16,0.05254753312366901,15
W3117086259,"Fintech: what’s old, what’s new?",0.04852941176470589,19,0.04852941176470589,18,0.04852941176470589,16
W2982407593,Trading Private Range Counting over Big IoT Data,0.04616596638655463,20,0.04616596638655463,19,0.04616596638655463,17
W2123954539,Microeconomic Evidence on Price-Setting,0.04506302521008404,21,0.04506302521008404,20,0.04506302521008404,18
W2018362551,The challenges of personal data markets and privacy,0.041135139933305774,22,0.041253282589451296,22,0.041335185063018545,19
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,0.066137773136697,10,0.07156661869116875,10,0.03841051937078671,20
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,0.035609243697479,23,0.035609243697479,23,0.035609243697479,21
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,0.03529411764705883,24,0.03529411764705883,24,0.03529411764705883,22
W1994174199,Smart data pricing: To share or not to share?,0.05795030044350337,12,0.06256481916480436,12,0.03438213474247963,23
W3124517880,Optimal Sticky Prices under Rational Inattention,0.03302983849789916,25,0.03302983849789916,25,0.03302983849789916,24
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.049730444452608116,18,0.053652785365713954,15,0.029697503606737938,25
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,0.028676470588235296,28,0.028676470588235296,26,0.028676470588235296,26
W2533772775,A pricing model for Big Personal Data,0.03121220687535353,26,0.028414770401937368,27,0.028424903792075504,27
W2743929098,Data pricing strategy based on data quality,0.02969752709286976,27,0.02807054260275862,28,0.027534177140209386,28
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,29,0.02626575630252101,29,0.02626575630252101,29
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,0.023374400116946997,30,0.025588598614059335,30,0.024550972757392275,30
W2765365501,Pricing of Data Products in Data Marketplaces,0.02074678593657168,31,0.02332336455954497,31,0.02343316050888043,31
W3084177365,A Survey on Data Pricing: From Economics to Data Science,0.020583803706701,32,0.02101646946263828,32,0.02116176756569966,32
W4226382147,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",0.020294117647058827,33,0.020294117647058827,33,0.020294117647058827,33
W2011238498,Accounting for Incomplete Pass-Through,0.019659926470588236,34,0.019659926470588236,34,0.019659926470588236,34
W3127298136,A Model of the Data Economy,0.017647058823529415,35,0.017647058823529415,35,0.017647058823529415,35
W3121561769,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,0.01717436974789916,36,0.01717436974789916,36,0.01717436974789916,36
W2759182208,Pricing privacy – the right to know the value of your personal data,0.017069816257338312,37,0.017172148678022393,37,0.017009679793758246,37
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,0.015713760504201684,38,0.015713760504201684,38,0.015713760504201684,38
W2156471581,Prices and Market Shares in a Menu Cost Model,0.014933035714285715,39,0.014933035714285715,39,0.014933035714285715,39
W2166180954,Temporary Price Changes and the Real Effects of Monetary Policy,0.014775472689075631,40,0.014775472689075631,40,0.014775472689075631,40
W4243417153,Selling Cookies,0.01458988308314445,41,0.014684990391772176,41,0.014692180692519765,41
W4288391541,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",0.014495798319327733,42,0.014495798319327733,42,0.014495798319327733,42
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,0.014338235294117648,44,0.014338235294117648,43,0.014338235294117648,43
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,0.01437613451956185,43,0.014222858893608815,44,0.014156328717294978,44
W2956647116,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,0.013392857142857146,45,0.013392857142857146,45,0.013392857142857146,45
W3113404185,Blockchain Based Data and Energy Trading in Internet of Electric Vehicles,0.012664128151260506,47,0.012814958251671277,46,0.012814958251671277,46
W1998665878,When Network Effect Meets Congestion Effect,0.012849966442467909,46,0.012719682160407829,47,0.012663131510541067,47
W4323644227,A Survey of Data Pricing for Data Marketplaces,0.010001313025210085,49,0.011496848739495802,48,0.011496848739495802,48
W2180742472,Smart data pricing,0.007188924908687661,53,0.007684480626858627,51,0.010887405215292176,49
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,0.010556722689075633,48,0.010556722689075633,49,0.010556722689075633,50
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,0.009219049283690073,50,0.009154469565085373,50,0.007931863780084192,51
W4360991875,The Economics of Digital Privacy,0.0075630252100840345,51,0.0075630252100840345,52,0.0075630252100840345,52
W4293428560,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions,0.00740546218487395,52,0.00740546218487395,53,0.00740546218487395,53
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,0.007026692028589918,54,0.007073463073080957,54,0.007053782233954096,54
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,0.00689732142857143,55,0.00689732142857143,55,0.00689732142857143,55
W2919782326,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,0.006503473240023198,56,0.006515932724628347,56,0.006552311389798586,56
W2190764372,Prospect Pricing in Cognitive Radio Networks,0.006302521008403362,57,0.006302521008403362,57,0.006302521008403362,57
W3014121762,Advancing Data Monetization and the Creation of Data-based Business Models,0.006109506302521009,58,0.006109506302521009,58,0.006109506302521009,58
