paper_id,title,global_citations,in_degree,citation_count_score,citation_count_rank,unweighted_pagerank_score,unweighted_pagerank_score_rank,time_aware_pagerank_score,time_aware_pagerank_score_rank,semantic_pagerank_score_v2,semantic_pagerank_score_v2_rank,semantic_temporal_score_v2,semantic_temporal_score_v2_rank,full_model_score_v2,full_model_score_v2_rank
W2097281067,TUBE,231,4,231,13,6.673757211257496,1,0.8869939043920017,1,0.8807693751882109,1,0.8902565918258085,1,0.8728041544544937,1
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,204,12,204,14,0.6386675277784418,4,0.3773533344006713,2,0.3720200720507176,2,0.37924594425472136,2,0.3792871304353738,2
W3123243120,Nonrivalry and the Economics of Data,75,4,75,36,0.5674472306249194,5,0.3403357466099988,3,0.33264957166635495,3,0.3419444649870814,3,0.3419794732406351,3
W3111554765,Optimal Sticky Prices under Rational Inattention,973,1,973,1,0.1911294642857143,18,0.15936157731466755,4,0.15835546875000003,4,0.15936157731466755,4,0.15936157731466755,4
W2168402580,Query-based data pricing,104,11,104,27,1.2127191016560532,2,0.15013795882164502,5,0.1471890082029947,5,0.1434043294590133,5,0.1446722263513254,5
W2910976764,Nonrivalry and the Economics of Data,711,5,711,2,0.15920955882352944,21,0.13530312865790808,6,0.13302984279498015,6,0.1352211786424793,6,0.1352211786424793,6
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,352,3,352,3,0.24004118500525215,13,0.09220740499418931,7,0.09539571109759373,7,0.09459853180445543,7,0.0946014264969164,7
W2010653253,A survey of smart data pricing,233,10,233,12,0.6534602584643063,3,0.08686754053849063,9,0.08551223416158742,9,0.0878086551907904,8,0.08933125462526131,8
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",348,15,348,4,0.17995993960084036,19,0.09107138822048871,8,0.08634852593389282,8,0.08692738426349102,9,0.08698723080802467,9
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,116,3,116,22,0.06342384453781513,27,0.06295509453781514,10,0.06295509453781514,10,0.06295509453781514,10,0.06295509453781514,10
W2293940046,Query-Based Data Pricing,122,11,122,19,0.4315442801667543,6,0.05239666483958427,15,0.059151749531820605,11,0.05741254949793573,11,0.057178860362550085,11
W2612128091,QIRANA,51,8,51,49,0.2701038048188026,11,0.054088926984994096,14,0.053401472026244096,14,0.05578160010273478,12,0.05688887204566742,12
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,74,1,74,37,0.08144905462184875,24,0.05498205454230691,12,0.057030527836134465,13,0.054982054542306896,14,0.054982054542306896,13
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,322,2,322,6,0.08599789915966388,23,0.05486025200726171,13,0.057270220588235304,12,0.0548602520072617,15,0.0548602520072617,14
W2180742472,Smart data pricing,47,2,47,57,0.2090691459099265,17,0.031133623992770962,26,0.03536563181216589,24,0.03558923786534854,23,0.050457311941944666,15
W3117086259,"Fintech: what’s old, what’s new?",329,0,329,5,0.04852941176470589,31,0.04852941176470589,17,0.04852941176470589,16,0.04852941176470589,16,0.04852941176470589,16
W2982407593,Trading Private Range Counting over Big IoT Data,314,0,314,7,0.04616596638655463,33,0.04616596638655463,18,0.04616596638655463,17,0.04616596638655463,18,0.04616596638655463,17
W2123954539,Microeconomic Evidence on Price-Setting,307,0,307,8,0.04506302521008404,34,0.04506302521008404,19,0.04506302521008404,18,0.04506302521008404,19,0.04506302521008404,18
W2018362551,The challenges of personal data markets and privacy,265,5,265,9,0.04863064600840336,30,0.04084931164074539,21,0.041004735157217725,20,0.04073788504090442,21,0.04080839996996283,19
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,95,2,95,29,0.22752056397715342,14,0.03269467538543206,25,0.03759538780376778,22,0.03121535168614984,25,0.04031542795369006,20
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,247,0,247,10,0.035609243697479,38,0.035609243697479,22,0.035609243697479,23,0.035609243697479,22,0.035609243697479,21
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,245,0,245,11,0.03529411764705883,39,0.03529411764705883,23,0.03529411764705883,25,0.03529411764705883,24,0.03529411764705883,22
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,100,5,100,28,0.3796805777639181,7,0.05935602600695644,11,0.05046041334064873,15,0.0550493755738552,13,0.03131282878576603,23
W3124517880,Optimal Sticky Prices under Rational Inattention,130,2,130,16,0.07330383403361346,25,0.030910947062566675,27,0.03302983849789916,26,0.030910947062566675,26,0.030910947062566675,24
W2743929098,Data pricing strategy based on data quality,93,11,93,32,0.2416773391544118,12,0.028367037375214628,29,0.029274861935527904,27,0.030614072153110843,27,0.030036105633866175,25
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,50,4,50,51,0.028676470588235296,41,0.028676470588235296,28,0.028676470588235296,28,0.028676470588235296,28,0.028676470588235296,26
W1994174199,Smart data pricing: To share or not to share?,32,2,32,78,0.3244616843766413,9,0.0521858153832239,16,0.04462454461686234,19,0.048525162515087844,17,0.02834909774521205,27
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,33,1,33,77,0.02626575630252101,42,0.02626575630252101,30,0.02626575630252101,30,0.02626575630252101,29,0.02626575630252101,28
W2533772775,A pricing model for Big Personal Data,61,8,61,40,0.21176846966911766,16,0.03412143155681663,24,0.027583078415701717,29,0.02594472731317693,30,0.02585674543082763,29
W2765365501,Pricing of Data Products in Data Marketplaces,39,8,39,68,0.22229025275735292,15,0.019057473203655095,35,0.023628421990268503,31,0.025310721018411714,31,0.025481356121030405,30
