paper_id,title,full_model_score,query_similarity,WTP,price,price_rank
W2097281067,TUBE,0.7521140442843489,0.0,1.0,0.5,1
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,0.447126520710385,0.09088956783496686,1.2085377987454784,0.432744203596753,2
W2168402580,Query-based data pricing,0.1468097847137315,0.43060459659245276,1.7288243303473696,0.37743461342285944,3
W3123243120,Nonrivalry and the Economics of Data,0.3966148072141242,0.06266678688932102,0.9170371944541489,0.30681007786777353,4
W2010653253,A survey of smart data pricing,0.07167616541591182,0.43203720046973004,1.2887577672677721,0.23629999869661683,5
W2293940046,Query-Based Data Pricing,0.05257552156084605,0.43060459659245276,1.1719195347288847,0.2044604412891116,6
W2180742472,Smart data pricing,0.008707637818373776,0.5883349517716907,1.2427392710859098,0.19144664720158255,7
W4323644227,A Survey of Data Pricing for Data Marketplaces,0.011496848739495802,0.4146248205014178,0.8952394730984252,0.13907555560876406,8
W2743929098,Data pricing strategy based on data quality,0.02776987704988456,0.3410360160308301,0.8197294840328812,0.13355266375707223,9
W3084177365,A Survey on Data Pricing: From Economics to Data Science,0.021578756579354905,0.3291083604501962,0.7624465923702572,0.12202331084725195,10
W4382600626,"We, the Data",0.00047268907563025216,0.39216926336000296,0.7869387734554555,0.11821391752796326,11
W1994174199,Smart data pricing: To share or not to share?,0.040410737839964794,0.26467115626559745,0.696837112654264,0.11762982380135749,12
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,0.0455029936031222,0.2135725554720798,0.591014566039874,0.10116694417391733,13
W3195579788,Data pricing in machine learning pipelines,0.004150258671750639,0.3008811348970386,0.6205627896000677,0.09428293832069384,14
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",0.09105873859195375,0.11374836841010076,0.45873959615541826,0.08824986261579829,15
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",0.0023634453781512608,0.27977729820816405,0.5697303833667333,0.08608617035456075,16
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,0.0006302521008403362,0.2833942704375394,0.5695263314946843,0.08559598663751743,17
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,0.2118647706863393,0.5178430130302495,0.08400599528683253,18
W2342966760,Time and Location Aware Mobile Data Pricing,0.0037450717287644394,0.2666533713275521,0.5489083124391628,0.08329287752099604,19
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.034821816239600324,0.19167387431325456,0.5006401677006509,0.08320865118436953,20
W2734445852,A First Look at Information Entropy-Based Data Pricing,0.0003450568467909834,0.27439998065374255,0.5502658634427273,0.08262823786021709,21
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,0.028676470588235296,0.18527285145533606,0.4651859279318976,0.07598567341961193,22
W2765365501,Pricing of Data Products in Data Marketplaces,0.024019809739064403,0.1880579111506136,0.4560993462924773,0.07351306074194115,23
W2910976764,Nonrivalry and the Economics of Data,0.11256951995825601,0.06266678688932102,0.3500394972782154,0.07084266815618202,24
W3210061505,Personal big data pricing method based on differential privacy,0.0006302521008403362,0.23029147497443828,0.4629647504241103,0.06958049593061458,25
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,0.09280858046400237,0.07517762519195145,0.34796572050772734,0.06722312630962174,26
W2533772775,A pricing model for Big Personal Data,0.028471436786404215,0.1449738809834865,0.3717071105106152,0.0606809346243768,27
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,0.014338235294117648,0.1602235142906243,0.3639468343928041,0.05702041269536601,28
W3111554765,Optimal Sticky Prices under Rational Inattention,0.16569355958897744,0.0,0.22030377021697298,0.05003237844268043,29
W3089176333,Towards Query Pricing on Incomplete Data,0.0015766934859207087,0.1498374554497217,0.30428415258546376,0.045865882904985465,30
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,0.004134052150925704,0.14135038902879787,0.2944128997182104,0.04472832698525241,31
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,0.02539573424829332,0.10658684967601846,0.27573142590392236,0.04461831638647327,32
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,0.06049170593092729,0.06261359186328548,0.24594362362166944,0.043814884908924205,33
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,0.05976879037742265,0.05902913359829076,0.2350532765887106,0.04179569350697274,34
W2759182208,Pricing privacy – the right to know the value of your personal data,0.016933609995286564,0.10840179718438309,0.2588433359292902,0.040866221954009005,35
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,0.007021352390702125,0.0998911046739948,0.21657795682751324,0.033194344921245775,36
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,0.010095845657819347,0.09373072054062567,0.21095012992553946,0.032633595229662325,37
W4322604225,Data and Markets,0.0017331932773109247,0.10517285065435975,0.21458903690821066,0.03236143234239301,38
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,0.0023634453781512608,0.0976791404445105,0.20095626156010446,0.030364459174969365,39
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,0.0005720520169356805,0.09971866991594336,0.20080469383193963,0.030174159738657856,40
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,0.010556722689075633,0.08370697579895028,0.19084935141290163,0.02956497367307925,41
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,0.0003151260504201681,0.09715973698857153,0.19506413041334839,0.029288224833120418,42
W2018362551,The challenges of personal data markets and privacy,0.041272093036519526,0.0472039981160551,0.170005248914917,0.028765937584240713,43
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,0.00465248599439776,0.08584596360297193,0.18212606708239334,0.027713223456669624,44
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,0.014156328717294978,0.0711866667302777,0.17191441665441437,0.02691968615486525,45
W2190764372,Prospect Pricing in Cognitive Radio Networks,0.006302521008403362,0.07852201668089681,0.17068772791106362,0.026103770828901782,46
W2982407593,Trading Private Range Counting over Big IoT Data,0.04616596638655463,0.03489012429885979,0.14829474687114913,0.02543011132744009,47
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,0.002934106301340649,0.08033612656918859,0.16708062194827286,0.02529022532659867,48
W3127298136,A Model of the Data Economy,0.017647058823529415,0.06015441333117877,0.15506345833899818,0.024532922561108558,49
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,0.005708158263305323,0.07036888249030032,0.15259975861791789,0.023295317545770085,50
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,0.00689732142857143,0.06611088112942556,0.14624254206653473,0.02240577639625787,51
W3014121762,Advancing Data Monetization and the Creation of Data-based Business Models,0.006109506302521009,0.06664494355084916,0.14574391318317417,0.02227594990158277,52
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,0.0003151260504201681,0.07312690897818132,0.14691791884141028,0.022059232673496736,53
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,0.035609243697479,0.029062687514537125,0.11647882103726623,0.0194019864923884,54
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,0.0015756302521008406,0.061774761068405425,0.12667977044002723,0.01909485063849139,55
W3206864493,Embedding European values in data governance: a case for public data commons,0.004096638655462185,0.058446135409534104,0.12488587269607002,0.01897096222216216,56
W2509511072,Understanding rollover data,0.0,0.05710967020486543,0.11421934040973088,0.01713290106145963,57
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,0.06693731909495594,0.0,0.08899889531865889,0.016122115476578394,58
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,0.015210557979218253,0.037616553717976876,0.101542825091196,0.0159501752137504,59
W4377865288,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",0.0009453781512605043,0.050793766539311266,0.10335526059044892,0.015548758830919452,60
W3121561769,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,0.01717436974789916,0.03290011590795892,0.09464516558039537,0.014953195858988806,61
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,0.06266794260076913,0.0,0.08332239382712085,0.014928276533646768,62
