paper_id,title,full_model_score_final,value_norm,query_similarity,WTP,price,price_rank,scenario
W2097281067,TUBE,0.8623505170795709,1.0,0.0,1.0,0.5,1,Conservative
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,0.373583758267977,0.4332156714338766,0.09088956783496686,0.6816043798926837,0.2055892516645206,2,Conservative
W2168402580,Query-based data pricing,0.15449936244535015,0.17916074657040434,0.43060459659245276,0.9183551071714636,0.19533988139187364,3,Conservative
W3123243120,Nonrivalry and the Economics of Data,0.3371316068940663,0.39094498143955825,0.06266678688932102,0.5516088316781687,0.15821837131353664,4,Conservative
W2010653253,A survey of smart data pricing,0.08682845653244732,0.1006881248549602,0.43203720046973004,0.7067293876562248,0.13091514803648355,5,Conservative
W2180742472,Smart data pricing,0.043833646629329925,0.05083042888149078,0.5883349517716907,0.7587866523512864,0.12731730569169122,6,Conservative
W2293940046,Query-Based Data Pricing,0.06157514234123375,0.07140384463357617,0.43060459659245276,0.6249957360803939,0.10936884486456529,7,Conservative
W2743929098,Data pricing strategy based on data quality,0.033193895095481374,0.038492346717545374,0.3410360160308301,0.4320374690372918,0.07062616797419774,8,Conservative
W4323644227,A Survey of Data Pricing for Data Marketplaces,0.011320903361344541,0.013127960309786581,0.4146248205014179,0.44952549355918453,0.06949429752706646,9,Conservative
W3084177365,A Survey on Data Pricing: From Economics to Data Science,0.02218103658861694,0.025721601772484646,0.3291083604501962,0.388690738972662,0.061802822786076954,10,Conservative
W4382600626,"We, the Data",0.00047268907563025216,0.0005481403052102955,0.39216926336000296,0.39357725878406224,0.05911209626317314,11,Conservative
W1994174199,Smart data pricing: To share or not to share?,0.034061380399648566,0.03949830112585837,0.26467115626559745,0.3459857015094866,0.056680901824635053,12,Conservative
W2910976764,Nonrivalry and the Economics of Data,0.13523293172500014,0.15681898375034187,0.06266678688932102,0.2587951379791932,0.05302366738497828,13,Conservative
W2289113545,Smart data pricing models for the internet of things: a bundling strategy approach,0.038033161320397225,0.04410406275304387,0.2135725554720798,0.29535428778059786,0.048862356582019296,14,Conservative
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",0.08591898378872825,0.09963348091875769,0.11374836841010076,0.2587144329029688,0.04782898176536112,15,Conservative
W3195579788,Data pricing in machine learning pipelines,0.0038847381838110744,0.004504825018215443,0.3008811348970386,0.31080762737122697,0.04711119099715597,16,Conservative
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",0.0023634453781512608,0.0027407015260514775,0.27977729820816405,0.28558514400683027,0.04311171787502355,17,Conservative
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,0.03045832962618542,0.2118647706863393,0.2681352883994876,0.043078726809392495,18,Conservative
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,0.0006302521008403362,0.000730853740280394,0.2833942704375394,0.284953603227913,0.04281593127654088,19,Conservative
W2342966760,Time and Location Aware Mobile Data Pricing,0.003404729706598061,0.003948196979261392,0.2666533713275521,0.2748127684475548,0.0416016704969197,20,Conservative
W2473283431,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,0.09560105942072682,0.11086102173915147,0.07517762519195147,0.21937572029391378,0.04141843381787802,21,Conservative
W2734445852,A First Look at Information Entropy-Based Data Pricing,0.00037718071609058295,0.00043738678022475135,0.27439998065374255,0.27531744313009476,0.04133976354301085,22,Conservative
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.029424862415331536,0.034121696262189916,0.19167387431325456,0.2519565214583006,0.040802492582512416,23,Conservative
W3111554765,Optimal Sticky Prices under Rational Inattention,0.15936157731466755,0.18479907434202061,0.0,0.18479907434202061,0.03967260540848677,24,Conservative
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,0.028676470588235296,0.03325384518275793,0.18527285145533606,0.24317083551354943,0.03930585318802772,25,Conservative
W2765365501,Pricing of Data Products in Data Marketplaces,0.016741055208334625,0.019413283666866395,0.1880579111506136,0.2220744811173409,0.03482009038158722,26,Conservative
W3210061505,Personal big data pricing method based on differential privacy,0.0006302521008403362,0.000730853740280394,0.23029147497443828,0.23169556625807772,0.0348136023886338,27,Conservative
W2533772775,A pricing model for Big Personal Data,0.025204938157629617,0.029228182343982875,0.1449738809834865,0.19115135544147027,0.03062815565147051,28,Conservative
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,0.014338235294117648,0.016626922591378965,0.1602235142906243,0.18750653275971893,0.029217159725908638,29,Conservative
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,0.0548602520072617,0.06361711499060843,0.06261359186328548,0.14216389114806055,0.024490003485946557,30,Conservative
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,0.054982054542306896,0.06375835980073238,0.05902913359829079,0.13784189635376448,0.023752285081233174,31,Conservative
W3089176333,Towards Query Pricing on Incomplete Data,0.001978222612579018,0.002293989014210196,0.1498374554497217,0.15350634637080737,0.023149201610886266,32,Conservative
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,0.0043875199007922545,0.005087861390343909,0.14135038902879787,0.1493149351665406,0.02266313306775353,33,Conservative
W2759182208,Pricing privacy – the right to know the value of your personal data,0.019750773929954325,0.022903417506888187,0.10840179718438309,0.14123630116891503,0.022317623065817346,34,Conservative
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,0.009744892398591484,0.011300384478916365,0.10658684967601846,0.12270512368187671,0.018891083828579874,35,Conservative
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,0.007685976118554786,0.008912821371736459,0.0998911046739948,0.11236517233607024,0.017205297598713056,36,Conservative
W2018362551,The challenges of personal data markets and privacy,0.04062925964258205,0.04711455358103891,0.0472039981160551,0.10321453289100656,0.017184197257733312,37,Conservative
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,0.008922652750040045,0.01034689789513599,0.0937307205406257,0.1079569072160472,0.016584492766020767,38,Conservative
W4322604225,Data and Markets,0.0017331932773109247,0.002009847785771084,0.10517285065435975,0.10802822412417444,0.016280225719096028,39,Conservative
W2982407593,Trading Private Range Counting over Big IoT Data,0.04616596638655463,0.053535036475538866,0.03489012429885979,0.09589653708230084,0.01618131917604772,40,Conservative
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,0.010556722689075633,0.012241800149696601,0.08370697579895028,0.10004767222411186,0.015435818096700254,41,Conservative
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,0.0023634453781512608,0.0027407015260514775,0.0976791404445105,0.10149067944768064,0.015320956398166887,42,Conservative
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,0.000899377593812687,0.0010429373856683146,0.09971866991594336,0.1011776086172295,0.015213573961301224,43,Conservative
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,0.016521391298149606,0.019158556724823233,0.0711866667302777,0.09580055862551339,0.015012473946670836,44,Conservative
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,0.0003151260504201681,0.000365426870140197,0.09715973698857153,0.09766718297307725,0.014662569020507828,45,Conservative
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,0.0044706932773109255,0.0051843110066789756,0.08584596360297195,0.09281048330559433,0.014089977939386884,46,Conservative
W2190764372,Prospect Pricing in Cognitive Radio Networks,0.006302521008403362,0.007308537402803941,0.07852201668089681,0.08812607846712449,0.013444337229292468,47,Conservative
W3127298136,A Model of the Data Economy,0.017647058823529415,0.020463904727851034,0.06015441333117877,0.08554229479250586,0.013444029498668334,48,Conservative
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,0.0045442276594385945,0.005269583040116956,0.08033612656918859,0.0872990611696163,0.013255869553697584,49,Conservative
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,0.06311392718244324,0.0731882522621826,0.0,0.0731882522621826,0.012853019933544898,50,Conservative
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,0.035609243697479,0.04129323632584227,0.029062687514537125,0.07515629353558695,0.012359650336956818,51,Conservative
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,0.005763430372148861,0.006683396435671248,0.07036888249030032,0.07893349147964293,0.012024664057409986,52,Conservative
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,0.00689732142857143,0.007998280620193563,0.06611088112942556,0.07622425526690474,0.011647020334327199,53,Conservative
W3014121762,Advancing Data Monetization and the Creation of Data-based Business Models,0.006109506302521009,0.00708471344484307,0.06664494355084916,0.07561829830611427,0.01153025163705706,54,Conservative
W2612128091,QIRANA,0.056380113489626904,0.06537957868983871,0.0,0.06537957868983871,0.011303008061857089,55,Conservative
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,0.0003151260504201681,0.000365426870140197,0.07312690897818132,0.07359922599820522,0.011049297196911225,56,Conservative
W3206864493,Embedding European values in data governance: a case for public data commons,0.004096638655462185,0.004750549311822561,0.058446135409534104,0.06430728971475047,0.009753016690027424,57,Conservative
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,0.04912776272139038,0.05696959849663691,0.0,0.05696959849663691,0.009681377077999341,58,Conservative
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,0.0015756302521008406,0.0018271343507009852,0.061774761068405425,0.06405337857092414,0.009648968730531506,59,Conservative
W3117086259,"Fintech: what’s old, what’s new?",0.04852941176470589,0.056275738001590345,0.0,0.056275738001590345,0.009549796240906825,60,Conservative
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,0.01602788388082506,0.018586275027821585,0.037616553717976876,0.058999435197803034,0.009233718184845831,61,Conservative
W2123954539,Microeconomic Evidence on Price-Setting,0.04506302521008404,0.05225604243004817,0.0,0.05225604243004817,0.008794149254165074,62,Conservative
