OpenAlex_ID,Q_Score,Title,Rank,Similarity,WTP,Optimal_Price
W2097281067,0.7152175496792256,TUBE,1,0.0,0.7152175496792256,0.3576087748396128
W2974598553,0.4461279827317953,Too Much Data: Prices and Inefficiencies in Data Markets,2,0.23228514627130842,2.7689794454448795,1.3844897227224398
W3123243120,0.3957496265079659,Nonrivalry and the Economics of Data,3,0.08551881486622336,1.2509377751701996,0.6254688875850998
W2168402580,0.1461257096761739,Query-based data pricing,4,0.4045383404790286,4.191509114466459,2.0957545572332297
W2910976764,0.1124984936701915,Nonrivalry and the Economics of Data,5,0.08551881486622336,0.9676866423324251,0.48384332116621254
W2473283431,0.0956533839453811,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,6,0.17757163952190652,1.8713697791644461,0.9356848895822231
W2790400697,0.0914350233419751,"A Survey on Big Data Market: Pricing, Trading and Protection",7,0.27380814778260976,2.8295165011680727,1.4147582505840364
W2010653253,0.0812586684159115,A survey of smart data pricing,8,0.41791854926613264,4.2604441610772374,2.1302220805386187
W1841962286,0.07645639946255,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,9,0.1089473386128612,1.165929785591162,0.582964892795581
W2045522464,0.0626679426007691,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,10,0.04726247583912265,0.5352927009919957,0.26764635049599783
W1777686370,0.0604917059309272,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,11,0.11257716659192069,1.1862633718501339,0.5931316859250669
W2150449738,0.0597687903774226,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,12,0.16607096508331082,1.7204784412105307,0.8602392206052654
W2293940046,0.0536061623794019,Query-Based Data Pricing,13,0.4045383404790286,4.098989567169688,2.049494783584844
W2612128091,0.0511338862504662,QIRANA,14,0.0,0.0511338862504662,0.0255669431252331
W2289113545,0.0421235003679968,Smart data pricing models for the internet of things: a bundling strategy approach,15,0.253468218747528,2.576805687843277,1.2884028439216384
W2018362551,0.0411165008605075,The challenges of personal data markets and privacy,16,0.1513463060088156,1.5545795609486635,0.7772897804743317
W1994174199,0.0375381685901082,Smart data pricing: To share or not to share?,17,0.21315951033995786,2.1691332719896868,1.0845666359948434
W2950902070,0.0323801323772222,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",18,0.19622651892029205,1.9946453215801427,0.9973226607900714
W2743929098,0.0304826968923064,Data pricing strategy based on data quality,19,0.3634369910664579,3.664852607556885,1.8324263037784425
W2533772775,0.0286867565773537,A pricing model for Big Personal Data,20,0.28893409756693955,2.9180277322467494,1.4590138661233747
W3215634159,0.0286764705882352,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,21,0.19395869178557548,1.96826338844399,0.984131694221995
W3121615946,0.026265756302521,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,22,0.23557743057240413,2.3820400620265625,1.1910200310132812
W3124517880,0.0247268554067681,Optimal Sticky Prices under Rational Inattention,23,0.09100776642768155,0.9348045196835836,0.4674022598417918
W2734426755,0.0237949093883346,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,24,0.21290825854927878,2.1528774948811225,1.0764387474405612
W2765365501,0.0215525196462282,Pricing of Data Products in Data Marketplaces,25,0.3800060913823307,3.821613433469535,1.9108067167347675
W3084177365,0.0208000394148318,A Survey on Data Pricing: From Economics to Data Science,26,0.33507631741517174,3.3715632135665494,1.6857816067832747
W2759182208,0.0168463962509055,Pricing privacy – the right to know the value of your personal data,27,0.1776677721511298,1.7935241177622037,0.8967620588811018
W1998665878,0.0128499664424679,When Network Effect Meets Congestion Effect,28,0.007887491960079695,0.09172488604326484,0.04586244302163242
W2920282816,0.010380611173767,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,29,0.1532332413597721,1.542713024771488,0.771356512385744
W2180742472,0.0076629666998181,Smart data pricing,30,0.615968882213338,6.167351788833198,3.083675894416599
