edge_id,source_id,target_id,citing_paper_title,cited_paper_title,citing_year,cited_year,target_reference_marker,target_reference_entry,reference_match_method,reference_match_score,num_mentions,all_target_aligned_contexts,context_type,alignment_status,alignment_note,candidate_upgrade_reason
W3117086259->W2974598553,W3117086259,W2974598553,"Fintech: what’s old, what’s new?",Too Much Data: Prices and Inefficiencies in Data Markets,2020,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W4377287661->W2018362551,W4377287661,W2018362551,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,The challenges of personal data markets and privacy,2020,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W3202764263->W2790400697,W3202764263,W2790400697,Regression markets and application to energy forecasting,"A Survey on Big Data Market: Pricing, Trading and Protection",2020,2018,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W3202764263->W2974598553,W3202764263,W2974598553,Regression markets and application to energy forecasting,Too Much Data: Prices and Inefficiencies in Data Markets,2020,2020,,,no_reference_entries,0.0,0,,,failed,Target paper could not be matched confidently to a numbered reference entry.,
W4312395603->W2743929098,W4312395603,W2743929098,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,Data pricing strategy based on data quality,2022,2017,,,pdf_missing,0.0,0,,,failed,Source paper PDF not found locally.,
W4312395603->W2790400697,W4312395603,W2790400697,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,"A Survey on Big Data Market: Pricing, Trading and Protection",2022,2018,,,pdf_missing,0.0,0,,,failed,Source paper PDF not found locally.,
W4312395603->W3084177365,W4312395603,W3084177365,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,A Survey on Data Pricing: From Economics to Data Science,2022,2020,,,pdf_missing,0.0,0,,,failed,Source paper PDF not found locally.,
W2509511072->W1994174199,W2509511072,W1994174199,Understanding rollover data,Smart data pricing: To share or not to share?,2016,2014,[6],"Y . Jin and Z. Pang, “Smart data pricing: To share or not to share?,” Proc. IEEE Infocom Workshops on Smart Data Pricing , 2014.",title_exact,0.97,1,"This heterogeneous data usage brings challenges todesigning mobile data plans, as the available monthly dataquotas may not ﬁt different users’ needs. Shared data plans [3]–[6] can help to even out the het- erogeneity in user demands by allowing multiple users anddevices to share one monthly quota of data usage. Taking thisone step further, users can even be allowed to trade leftoverdata with one another in a secondary data market [7]–[9].Thus, heavy users can reduce the likelihood of exceeding theirquotas by sharing or trading data caps with light users.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W2509511072->W2010653253,W2509511072,W2010653253,Understanding rollover data,A survey of smart data pricing,2016,2020,[1],"S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Surveys (CSUR) , vol. 46, no. 2, p. 15, 2013.",title_exact,0.97,1,"I. I NTRODUCTION Most Internet service providers (ISPs) today charge their users a ﬂat fee for a limited amount of mobile data that can be used each month, with steep overage fees for exceeding thismonthly quota [1]. Moreover, in most cases, leftover data atthe end of each month cannot be rolled over into subsequentmonths.",exact,high_confidence,Reference entry matched with high title confidence and target marker was found.,
W4288391541->W3215634159,W4288391541,W3215634159,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,2022,2021,[34],"R. Kakkar, R. Gupta, S. Tanwar, and J. J. Rodrigues, ``Coalition game and blockchain-based optimal data pricing scheme for ride shar- ing beyond 5G,'' IEEE Syst. J., early access, Dec. 1, 2021, doi: 10.1109/JSYST.2021.3126620.",title_compact_exact,0.99,1,"In the consensus protocol, all peers in the blockchain network agree on the distributed ledger's current state. There are four types of blockchain: public, private, consortium, and hybrid [34], [35]. In a public blockchain, everyone with internet connectivity can sign on the blockchain to become an authorized node making the public blockchain permissionless [36].",exact,high_confidence,Candidate v2.2 rescue via title_compact_exact (score=0.990),Candidate v2.2 rescue via title_compact_exact (score=0.990)
