Source_ID,Target_ID,Context_Text,LLM_Section,LLM_Sentiment,LLM_Relevance,Weight_Loc,Weight_Sent,Weight_Rel,Weight_Combined,Confidence,Source_Clean,Citing_Year
https://openalex.org/W3121561769,https://openalex.org/W2974598553,"Shriver (2019) studies changes in market concentration of web technology vendors as a result of GDPR. Degeling et al. (2018) show that a signiﬁcant number of websites responded to GDPR by updating their privacy policy statements and adding cookie consent, as was mandated by the policy. Utz et al. 4 Electronic copy available at: https://ssrn.com/abstract=3522845 (2019) showed that there was heterogeneity in the implementation of GDPR across websites that led to meaningful diﬀerences in whether consumers consented to data collection. Further, several other papers study the eﬀectiveness of previous data privacy regulations on online advertising. Te ﬁrst is the EU’

... [另一次引用] ...

xtent to which such regulation puts ﬁrms in these markets at a disadvantage relative to these larger ﬁrms. We believe that these insights and directions for future work are useful for the design of the many proposed regulations in the US and around the world that follow in the footsteps of GDPR. 31 Electronic copy available at: https://ssrn.com/abstract=3522845 References Abowd, John M, and Ian M Schmutte. 2019. “An economic analysis of privacy protection and statistical accuracy as social choices.” American Economic Review, 109(1): 171 202. Acemoglu, Daron, Ali Makhdoumi, Azarakhsh Malekian, and Asuman Ozdaglar. 2019. “",Discussion,0.65,0.8,0.6,0.825,0.6400000000000001,0.3168,0.9,W3121561769,2020
https://openalex.org/W2956647116,https://openalex.org/W2790400697,"I. INTRODUCTION As many new technologies are integrated into our daily life, such as the mobile and the social network applications, and the smart systems based on the Internet of Things (IoT) (smart home, smart city, smart transportation, smart grid, etc.), a large amount of data will be collected [1]. We have entered the era of big data, the data sharing and trading is the trend of the times and the inevitable demand of the market. As people pay more and more attention to the economic value of big data in improving the utility efficiency and the decision making, the customer experience and othe

... [另一次引用] ...

resale contract is the solution to the problem of data resale, but signing a contract can not eliminate the problem of data resale. Therefore, we can design a smart contract to ensure that data will not be resold after sale, which will be the direction of further research in the future. REFERENCES [1] F. Liang, W. Yu, D. An, et al., “",Introduction,0.85,0.9,0.2,0.925,0.81,0.14985,0.95,W2956647116,2019
https://openalex.org/W2982407593,https://openalex.org/W2612128091,"hical decomposition with differential privacy guarantee based on spatial decomposition trees. The paradigm proposed in [20] can efﬁciently answer differentially private range counting by eliminating the dependence of querying sensitivity on the maximum height of the decom position tree. The work in [21] investigates the problem of releasing the degree distribution of a graph under differential privacy. To reduce Laplace noise volume, the work in [21] transfers high dimensional graph data to low dimensional data based on a graph projection approach. However, these studies mainly focus on reducing t

... [另一次引用] ...

erentially private range counting by eliminating the dependence of querying sensitivity on the maximum height of the decom position tree. The work in [21] investigates the problem of releasing the degree distribution of a graph under differential privacy. To reduce Laplace noise volume, the work in [21] transfers high dimensional graph data to low dimensional data based on a graph projection approach. However, these studies mainly focus on reducing the scale of noise introduced by privacy preservation, while they fail to demonstrate an unbiased estimator and cannot be applied directly for data in

... [另一次引用] ...

international conference on Knowledge discovery and data mining. ACM, 2012, pp. 213 221. [20] J. Zhang, X. Xiao, and X. Xie, “Privtree: A differentially private algorithm for hierarchical decompositions,” in Proceedings of the 2016 International Conference on Management of Data, 2016, pp. 155 170. [21] W. Y. Day, N. Li, and M. Lyu, “Publishing graph degree distribution with node differential privacy,” in Proceedings of the 2016 International Conference on Management of Data. ACM, 2016, pp. 123 138. [22] S. Deep and P. Koutris, “",Method,0.6,0.9,1.0,0.8,0.81,0.6480000000000001,0.9,W2982407593,2019
https://openalex.org/W3117086259,https://openalex.org/W2910976764,"from large bank mergers. J. Bank. Financ. 18 (6), 1155 1176. Houston, J.F., James, C.M., Ryngaert, M.D., 2001. Where do merger gains come from? Bank mergers from the perspective of insiders and outsiders. J. Financ. Econ. 60 (2 3), 285 331. Infante, S., Vardoulakis, A., 2020. Collateral runs. Rev. Financ. Stud., forthcoming. Jaffee, D.M., Rosen, K.T., 1990. Mortgage securitization trends. J. Housing Res. 1 (1), 117 137. Jappelli, T., Pagano, M., 2002. Information sharing, lending and defaults: cross country evidence. J. Bank. Financ. 26 (10), 2017 2045. Jones, C.I., Tonetti, C., 2020.",Introduction,0.0,0.0,0.2,0.5,0.0,0.0,0.5,W3117086259,2020
https://openalex.org/W3117086259,https://openalex.org/W2974598553,"technological dis ruption in ﬁnance. Claessens at al. (2018) document the rise of Fintech lending across countries, while Thakor (2020) compares credit provision by banks and non banks. The overview of Vives (2019) highlights the competitive challenge from large technology ﬁrms and its impact on business strategies, whereas Petralia et al. (2019) and Stulz (2019) discuss the impact of Fintech and Bigtech on banking. Compared to this literature, our analysis focuses on artic ulating the key dimensions of ﬁnancial innovation information and communication and on distinguishing pre existing trends from genuinely new developments in each of the

... [另一次引用] ...

describes the conversion of soft information into hard information that can be processed and transmitted (Liberti and Petersen, 2018). Another is the emergence of vast non ﬁnancial data on consumer choices and preferences. The scale of these new data enables the use of analytical tools such as machine learning and artiﬁcial intelligence (AI) to deliver new insights, including for ﬁnancial decision making (Athey and Imbens, 2019; Philippon, 2020). More generally, the diffusion of the internet and advances in computing have led to a massive increase in the overall availability of data, often at negligi ble cost. 3.1. Established trends Much of the recent surge in information related innovation in the ﬁnancial industry can b

... [另一次引用] ...

ge ﬁnancial sector risk seeking and myopia (Rajan, 2006). The nature of information also affects how collateral is used in credit markets. When lending is based on soft information, banks use collateral to alleviate asymmetric information and moral hazard problems (Cerqueiro et al., 2020). However, in the con text of repeated customer interaction, the use of collateral may become less critical over time and is possibly substituted by rep utation (Botsch and Vanasco, 2019; Boot and Thakor, 1994).3 3 Boot and Thakor (1994) analyze a setting with only moral hazard (and no learn ing). Borrowers initially accept secured contracts at above market terms, and over time (if successful) switch to below market unsecured loans. 3 A. Boot, P. Hoffmann, L. Laeven et al. Journal",Discussion,0.65,0.8,0.6,0.825,0.6400000000000001,0.3168,0.9,W3117086259,2020
https://openalex.org/W2509511072,https://openalex.org/W1994174199,"In this work, we evaluate the benefits of rollover data for both ISPs and users as well as identify the types of users who would upgrade to rollover data plans. To do so, we consider two alternatives: a smaller data plan without rollover data, and a more expensive data plan with larger monthly quota that does include rollover data. We find that moderately price-sensitive users benefit from rollover data: price-insensitive users would not have any data to rollover, while extremely price-sensitive users would not find the rollover data worth its higher cost. Under specific bounds on the size of the rollover data plan’s monthly quota, we find that users can obtain more utility and ISPs can profit from rollover data, which is verified on one year of usage data from a U.S. ISP.",Result,0.65,0.7,0.8,0.825,0.4899999999999999,0.3233999999999999,0.9,W2509511072,2016
https://openalex.org/W2509511072,https://openalex.org/W2010653253,"n proﬁt from rollover data, which is veriﬁed on one year of usage data from a U.S. ISP. I. INTRODUCTION Most Internet service providers (ISPs) today charge their users a ﬂat fee for a limited amount of mobile data that can be used each month, with steep overage fees for exceeding this monthly quota [1]. Moreover, in most cases, leftover data at the end of each month cannot be rolled over into subsequent months. Although users would not like to lose their unused data, the rapid growth in demand and cost of network trafﬁc management are holding ISPs back from offering rollover data, as doing so wou

... [另一次引用] ...

+ (π −c) ¯d  ¯p ¯dπ  1 α −dπ (b) ≤p −c ¯d, where (a) is due to (10) and (b) is due to (16). Again, due to (10), (15) satisﬁes Rw ≥¯p−c ¯d, which veriﬁes our intuition that users would have some data to rollover after upgrading. Since p < ¯p, it is straightforward to see that Rw > Rw/o. REFERENCES [1] S. Sen, C. Joe Wong, S. Ha, and M. Chiang, “",Introduction,0.5,0.8,0.2,0.75,0.6400000000000001,0.096,0.9,W2509511072,2016
https://openalex.org/W2919782326,https://openalex.org/W2168402580,"dividual privacy loss. However, these works cannot directly apply to our context, since we intend to investigate a sequence of data from a certain data owner, and to quantify her privacy loss at each timestamp. Although two modiﬁed versions of differential privacy, called entry differential privacy [14] and group differential privacy [15], may be applicable, they mis handle temporal correlations, where all states are assumed to be independent (resp., correlated) in the entry (resp., group) d ifferential privacy. In other words, they treat each state equally, which is unreasonable in practice. For

... [另一次引用] ...

2040. [12] C. Dwork, F. McSherry, K. Nissim, and A. D. Smith, “Calibrating noise to sensitivity in private data analysis,” in Proc. of TCC, 2006, pp. 265 284. [13] C. Liu, S. Chakraborty, and P. Mittal, “Dependence makes you vulnber able: Differential privacy under dependent tuples,” in NDSS, 2016. [14] M. Hardt and A. Roth, “Beyond worst case analysis in private singular vector computation,” in Proc. of STOC, 2013, pp. 331 340. [15] C. Dwork and A. Roth, “The algorithmic foundations of differential privacy,” Foundations and Trends in Theoretical Computer Science, vol. 9, no. 3 4, pp. 211 407, 201",Method,0.6,0.8,1.0,0.8,0.6400000000000001,0.5120000000000001,0.9,W2919782326,2019
https://openalex.org/W2508874533,https://openalex.org/W2010653253,"2019, and mobile video trafﬁc will account for 72% of the total mobile data trafﬁc by 2019 [1]. It will be enormous strain on already overburdened mobile networks to meet this big multimedia data demand, which drives mobile network operators to innovate new pricing schemes. Smart data pricing (SDP) [2] is likely to emerge as an effective way to inﬂuence the user behavior in utilizing network resources. However, multimedia smart pricing has largely been ignored in literature. In this paper, we propose a fundamentally new framework named Smart Media Pricing (SMP) to allocate different prices to dif

... [另一次引用] ...

e State Scholarship Fund. REFERENCES [1] Cisco, Cisco Visual Networking Index, “Global mobile data traf ﬁc forecast update 2014 2019. white paper c11 520862,” Avail able on http://www. cisco. com/c/en/us/solutions/collateral/service provider/visual networking index vni/white paper c11 520862. html. [2] S. Sen, C. Joe Wong, S. Ha, and M. Chiang, “Smart data pricing (SDP): economic solutions to network congestion,” ACM SIGCOMM Recent Advances in Networking, pp. 221 274, 2013. [3] A. Mas Colell, M. D. Whinston, J. R. Green et al., Microeconomic theory. Oxford university press New York, 1995, vol. 1.",Introduction,0.85,0.9,0.2,0.925,0.81,0.14985,0.9,W2508874533,2016
https://openalex.org/W4226305897,https://openalex.org/W2743929098,", X.; Wei, X.; Liu, Y.; Gao, S. On pricing approximate queries. Inf. Sci. 2018, 453, 198 215. [CrossRef] 60. Upadhyaya, P.; Balazinska, M.; Suciu, D. Price optimal querying with data APIs. Proc. VLDB Endow. 2016, 9, 1695 1706. [CrossRef] 61. Tang, R.; Wu, H.; Bao, Z.; Bressan, S.; Valduriez, P. The Price Is Right; Springer: Berlin/Heidelberg, Germany, 2013; pp. 380 394. 62. Wang, X.; Wei, X.; Gao, S.; Liu, Y.; Li, Z. A novel auction based query pricing schema. Int. J. Parallel Program. 2019, 47, 759 780. [CrossRef] 63. Yu, H.; Zhang, M.",Method,0.0,0.8,1.0,0.5,0.6400000000000001,0.32,0.9,W4226305897,2021
